Hi-Vol,,LSC    (bgd 1.246 cpm),,,,Efficency,,N0 / SCM Flow,,,[2]Bulk,,SO4 Anions,,  SO4 Rev
Sample ID,Range Collected,CPM,CPM - bgd,DPM,σ ,N,Δt (days),N0,atoms/m3,Error Propogation,atoms/m3,,μS/mL,μmol/m3,Bulk μS
UH2a S35 1/2,5/21-5/28/2019,1.561,0.315,0.44929,0.137,81670.97,115,203098.7,18,1.77E-05,37,,,,5.1175
UH3a S35 1/2,5/29-6/4/2019,1.855,0.609,0.86929,0.166,158018.39,107,368828.4,39,2.52E-05,78,,,,5.0784
UH5a S35 1/2,6/11-6/18/2019,1.588,0.342,0.48786,0.12,88682.46,94,186736.8,16,1.50E-05,33,,,,1.2847
UH6b S35 1/2,6/18-6/20/2019,1.92,0.674,0.96214,0.134,174897.92,73,311838.5,104,6.39E-05,208,,,,1.1579
UH7a S35 1/4?,6/20-6/24/2019,1.95,0.704,1.005,0.183,182688.47,83,352581.6,55,4.05E-05,109,,,,0.7314
UH7b SO4-->S35 1/2,6/20-6/24/2019,1.906,0.66,0.94214,0.113,171262.33,72,302946.9,47,2.50E-05,94,,,,1.1057
UH8a S35 1/2,6/24-6/27/2019,1.963,0.717,1.02357,0.194,186064.38,66,313852.7,62,5.51E-05,125,,,,1.3489
UH9a S35 1/2,6/27-7/2/2019,1.791,0.545,0.77786,0.17,141398.54,64,234761.5,31,3.16E-05,61,,,,1.8555
UH11a S35 1/2,7/3-7/6/2019,1.402,0.156,0.22214,0.142,40381.03,51,60483.2,13,4.40E-05,26,,,,0.6424
UH13a S35 1/2,7/8-7/9/2019,1.392,0.146,0.20786,0.117,37784.18,54,57954.7,48,1.39E-04,96,,,,1.1597
UH14a S35 1/2,7/11-7/12/2019,1.352,0.106,0.15071,0.149,27396.78,52,41361.6,42,2.15E-04,83,,,,0.8866
UH15a S35 1/2,7/16-7/17/2019,1.51,0.264,0.37643,0.103,68427.03,47,99294.2,74,1.09E-04,148,,,,1.2380
UH15b S35 1/2,7/16/-7/17/2019,1.528,0.282,0.40214,0.235,73101.36,48,106920.7,80,2.50E-04,159,,,, 
UH15c S35 1/2,7/16-7/17/2019,1.6,0.354,0.505,0.165,91798.69,48,134268.1,100,1.76E-04,201,,,,1.5863
UH18c S35 1/2,7/24-7/26/2019,3.485,2.239,3.19786,0.399,581305.11,34,760984.5,242,1.82E-04,485,,,,2.7990
UH19c S35 1/2,7/26-7/30/2019,1.96,0.714,1.01929,0.223,185285.32,31,236860,39,5.18E-05,77,,,,4.6544
UH20a S35 1/2,7/31-8/2/2019,2.755,1.509,2.155,0.325,391734.98,42,546369.9,190,1.62E-04,381,,,,2.3823
UH21c S35 1/2,7/31-8/1/2019,2.444,1.198,1.71071,0.303,310972.92,24,376089.1,282,3.25E-04,564,,,,1.3331
UH21d S35 1/2,7/31-8/1/2019,2.191,0.945,1.34929,0.259,245272.58,38,331422.5,248,2.77E-04,497,,,,1.2624
UH22c S35 1/2,8/2-8/5/2019,2.988,1.742,2.48786,0.296,452241.61,13,501296.9,110,9.28E-05,220,,,,2.0223
UH22d S35 1/2,8/2-8/5/2019,3.359,2.113,3.01786,0.23,548584.79,14,612926.7,152,8.14E-05,304,,,,2.4091
UH23a S35 1/2,8/5-8/9/2019,2.742,1.496,2.13643,0.219,388359.08,33,504388,168,1.04E-04,336,,,,2.8743
UH24a S35 1/2,8/7-8/12/2019,5.768,4.522,6.45929,0.325,1174166.21,18,1354115.6,170,5.83E-05,340,,,,5.3443
UH25a S35 1/2,8/12-8/15/2019,3.621,2.375,3.39214,0.104,616622.29,26,757649.1,162,3.19E-05,325,,,,3.1118
UH26a S35 1/2,8/15-8/19/2019,5.162,3.916,5.59357,0.254,1016797.04,9,1091936.4,176,5.85E-05,352,,,,2.9469
UH27a S35 1/2,8/19-8/26/2019,7.079,5.833,8.33214,0.282,1514613.39,19,1760630.8,161,3.68E-05,321,,,,7.6769
UH28a S35 1/2,8/26-9/3/2019,9.178,7.932,11.33071,0.629,2059692.43,15,2319570.2,197,7.63E-05,394,,,,9.8803
UH29a S35 1/2,9/3-9/10/2019,5.879,4.633,6.61786,0.651,1202991.26,13,1333481.3,146,1.02E-04,291,,,,6.2261
UH30a S35 1/2,9/9-9/17/2019,8.128,6.882,9.83071,0.472,1787023.07,10,1934343.4,163,5.70E-05,327,,,,7.3213
UH34a S35 1/2,9/17-9/24/2019,3.594,2.348,3.35357,0.239,609610.79,9,654659.9,63,3.30E-05,127,,4.85,,5.1843
UH35a S35 1/2,9/24-9/30/2019,7.26,6.014,8.59071,0.304,1561616.39,9,1677016.9,165,4.29E-05,331,,5.448,,5.8458
UH38a S35 1/2,9/30-10/7/2019,9.418,8.172,11.67357,0.361,2122016.85,11,2315221.8,204,4.54E-05,407,,4.808,,5.2340
UH42a S35 1/2,10/7-10/14/2019,12.659,11.413,16.30357,0.592,2963656.29,22,3527892.8,314,7.53E-05,628,,7.153,,7.2359
UH44a S35 1/2,10/14-10/18/2019,5.597,4.351,6.215,0.399,1129760.06,13,1252306.6,182,8.29E-05,364,,5.488,,5.4878
UH46a S351/2,10/18-10/22/2019,4.739,3.493,4.98929,0.343,906950.24,10,981718.3,167,8.36E-05,335,,3.221,,3.5056
UH48a-->b S35 1/2,10/22-10/25/2019,3.565,2.319,3.31214,0.365,602079.92,25,733943.6,164,1.17E-04,328,,,,1.3248
PH2b S35 1/2,10/25-10/28/2019,6.091,4.845,6.92071,0.343,1258044.5,15,1416775.9,312,1.08E-04,624,,,,2.3656
PH4b S35 1/2,10/28-11/1/2019,10.712,9.466,13.52214,0.297,2458049.38,11,2681849.3,395,6.26E-05,791,,,,4.4704
PH4b S35 1/2,10/28-11/1/2019,4.398,3.152,4.50214,0.36,818397.62,91,1682811.8,248,7.58E-05,496,,,,4.4704
PH6b S35 1/2,11/1-11/5/2019,7.596,6.35,9.07071,0.28,1648870.59,12,1813304.3,295,6.51E-05,590,,,,2.6715
PH8b S35 1/2,11/5-11/8/2019,5.517,4.271,6.10071,0.242,1108985.25,20,1299369.4,256,6.81E-05,512,,,,4.0139
PH10b S35 1/2,11/8-11/12/2019,6.722,5.476,7.82214,0.24,1421905.81,9,1526982,240,5.38E-05,479,,,,6.4272
PH12b S35 1/2,11/12-11/15/2019,5.168,3.922,5.60214,0.316,1018355.15,9,1093609.7,226,9.32E-05,451,,,,5.7511
PH14b S35 1/2,11/15-11/22/2019,8.833,7.587,10.83786,0.342,1970101.07,17,2254106,201,4.37E-05,403,,,,5.3162
PH16b S35 1/2,11/22-11/30/19,8.39,7.144,10.205,0.598,1855060.56,18,2139361.9,167,6.65E-05,333,,,,4.1319
PH18b S35 1/2,11/30-12/5/19,4.479,3.233,4.61786,0.145,839432.11,13,930486.4,119,2.65E-05,238,,,,
PH20b S35 1/2,12/5-12/9/19,3.913,2.667,3.80929,0.219,692450.34,8,737753.7,114,4.84E-05,228,,,,
