0,,,,Hi-Vol Data,,,LSC    (bgd 1.246 cpm),,,,,,,efficiency,,                     N0 / SCM Flow,,,,(2)bulk,,total flow SCM,SCF flow,IC-AG ,IC-AG,start date,2 x bulk,,fine+coarse,fine,coarse,  SO4 rev,bulk,bulk,bulk,  SO4 IC area,coarse,coarse,coarse,  SO4 IC area,fine,fine,fine,SO4 fine+coarse,
,Sample ID,Range Collected,Start Hi-Vol,Flow Rate (SCFM;SCMM),Total Time (min),SCM Flow ,LSC ID,Count Date ,LSC hr,CPM,CPM - bgd,DPM,σ ,35N,Δt (days),N0,atoms/m3,Error Propogation,τ,atoms/m3,Remarks,from SCF,Total,# used,expires; code,,atoms/m3,,atoms/m3,atoms/m3,atoms/m3,bulk uS,PPM,umole/ml,umole,coarse  uS,PPM,umole/ml,umole, fine    uS,PPM,umole/ml,umole,umoles per filter,
,UH2a S35 1/2,5/21-5/28/2019,05/21/19,40.0(±0.5) SCFM,9764.4,11059.950,TJ51,9/13/19,12,1.561,0.315,0.449285714,0.137,81670.96626,115,203098.6874,18,1.770E-05,126.2358161,37,,11059.950,390578.5,,,05/21/19,37,,,,,5.1175,131.79,,,,,#VALUE!,#VALUE!,,1.55,#VALUE!,#VALUE!,#VALUE!,
,UH3a S35 1/2,5/29-6/4/2019,05/29/19,40.2(±0.2) SCFM,8300.0,9400.428,TJ51,9/13/19,12,1.855,0.609,0.869285714,0.166,158018.3878,107,368828.3596,39,2.523E-05,,78,,9400.428,331973.0,,,05/29/19,78,,,,,5.0784,130.78,,,,,,,,,,,,
,UH5a S35 1/2,6/11-6/18/2019,06/11/19,40.0(±0.5) SCFM,10083.2,11421.004,TJ51,9/13/19,12,1.588,0.342,0.487857143,0.120,88682.46416,94,186736.8274,16,1.501E-05,,33,,11421.004,403329.0,,,06/11/19,33,,,,,1.2847,33.08,,,,,,,,,,,,
,UH6b S35 1/2,6/18-6/20/2019,06/18/19,39.6(±0.05) SCFM,2644.2,2995.707,TJ44,8/30/19,12,1.920,0.674,0.962142857,0.134,174897.9198,73,311838.4543,104,6.390E-05,,208,,2995.707,105792.4,,,06/18/19,208,,,,,1.1579,29.82,,,,,,,,,,,,
,UH7a S35 1/4?,6/20-6/24/2019,06/20/19,40.0(±0.5) SCFM,5703.9,6459.267,TJ49,9/11/19,12,1.950,0.704,1.005,0.183,182688.473,83,352581.5632,55,4.047E-05,cpmactual=2cpm-bgd; 1/4 filter,109,,6459.267,228106.9,,,06/20/19,109,,,,,0.7314,18.84,,,,,,,,,,,,
,UH7b SO4-->S35 1/2,6/20-6/24/2019,06/20/19,40.0(±0.5) SCFM,5703.9,6458.421,TJ44,8/31/19,12,1.906,0.660,0.942142857,0.113,171262.3283,72,302946.9093,47,2.500E-05,,94,,6458.421,228077.0,,,06/20/19,94,,,,,1.1057,28.48,,,,,,,,,,,,
,UH8a S35 1/2,6/24-6/27/2019,06/24/19,40.0(±0.5) SCFM,4440.1,5028.403,TJ43,8/29/19,12,1.963,0.717,1.023571429,0.194,186064.3794,66,313852.6964,62,5.512E-05,,125,S01p41,5028.403,177576.4,,,06/24/19,125,,,,,1.3489,34.74,,,,,,,,,,,,
,UH9a S35 1/2,6/27-7/2/2019,06/27/19,40.0(±0.3) SCFM,6791.1,7690.900,TJ43,8/30/19,12,1.791,0.545,0.777857143,0.170,141398.541,64,234761.4957,31,3.158E-05,,61,S01p40,7690.900,271601.6,,,06/27/19,61,,,,,1.8555,47.78,,,,,,,,,,,,
,UH11a S35 1/2,7/3-7/6/2019,07/03/19,40.0(±0.5) SCFM,4067.8,4609.948,TJ39,8/23/19,12,1.402,0.156,0.222142857,0.142,40381.03419,51,60483.22231,13,4.400E-05,,26,S01p10,4609.948,162798.8,,,07/03/19,26,,,,,0.6424,16.54,,,,,,,,,,,,
